date,time
3/8/2012,9:59 AM
3/8/2012,11:46 AM
3/8/2012,11:55 AM
3/8/2012,12:48 PM
3/8/2012,2:37 PM
3/8/2012,2:46 PM
3/8/2012,3:14 PM
3/8/2012,3:33 PM
3/8/2012,5:10 PM
3/8/2012,6:39 PM
3/9/2012,11:21 AM
3/9/2012,11:31 AM
3/9/2012,12:07 PM
3/9/2012,12:44 PM
3/9/2012,12:45 PM
3/9/2012,12:48 PM
3/9/2012,1:13 PM
3/9/2012,1:15 PM
3/9/2012,1:42 PM
3/9/2012,2:13 PM
3/9/2012,2:27 PM
3/9/2012,2:38 PM
3/9/2012,3:50 PM
3/12/2012,12:04 PM
3/12/2012,12:57 PM
3/12/2012,12:57 PM
3/12/2012,1:18 PM
3/12/2012,2:31 PM
3/12/2012,3:58 PM
3/12/2012,4:20 PM
3/12/2012,5:21 PM
3/12/2012,5:58 PM
3/12/2012,6:28 PM
3/13/2012,10:23 AM
3/13/2012,12:34 PM
3/13/2012,1:04 PM
3/13/2012,1:30 PM
3/13/2012,1:48 PM
3/13/2012,2:45 PM
3/13/2012,3:02 PM
3/13/2012,3:20 PM
3/13/2012,3:39 PM
3/13/2012,3:49 PM
3/13/2012,4:01 PM
3/13/2012,4:03 PM
3/13/2012,4:36 PM
3/13/2012,5:11 PM
3/13/2012,5:26 PM
3/13/2012,6:11 PM
3/14/2012,9:53 AM
3/14/2012,9:57 AM
3/14/2012,10:30 AM
3/14/2012,12:31 PM
3/14/2012,12:32 PM
3/14/2012,12:51 PM
3/14/2012,12:59 PM
3/14/2012,2:02 PM
3/14/2012,3:10 PM
3/14/2012,3:24 PM
3/14/2012,3:45 PM
3/14/2012,3:56 PM
3/14/2012,4:28 PM
3/14/2012,4:29 PM
3/14/2012,4:32 PM
3/14/2012,5:28 PM
3/14/2012,5:46 PM
3/14/2012,5:55 PM
3/15/2012,9:01 AM
3/15/2012,9:20 AM
3/15/2012,11:52 AM
3/15/2012,12:31 PM
3/15/2012,12:47 PM
3/15/2012,1:57 PM
3/15/2012,2:05 PM
3/15/2012,2:27 PM
3/15/2012,2:28 PM
3/15/2012,2:30 PM
3/15/2012,3:39 PM
3/15/2012,3:44 PM
3/15/2012,3:56 PM
3/15/2012,4:03 PM
3/15/2012,5:28 PM
3/16/2012,10:52 AM
3/16/2012,12:22 PM
3/16/2012,1:04 PM
3/16/2012,1:36 PM
3/19/2012,9:25 AM
3/19/2012,10:15 AM
3/19/2012,10:40 AM
3/19/2012,12:05 PM
3/19/2012,3:25 PM
3/19/2012,3:41 PM
3/19/2012,3:50 PM
3/19/2012,4:46 PM
3/20/2012,11:41 AM
3/20/2012,12:06 PM
3/20/2012,12:22 PM
3/20/2012,12:58 PM
3/20/2012,1:02 PM
3/20/2012,1:09 PM
3/20/2012,1:34 PM
3/20/2012,2:45 PM
3/20/2012,3:12 PM
3/20/2012,4:18 PM
3/20/2012,4:58 PM
3/20/2012,5:41 PM
3/20/2012,5:43 PM
3/20/2012,5:59 PM
3/21/2012,10:44 AM
3/21/2012,12:39 PM
3/21/2012,12:44 PM
3/21/2012,4:28 PM
3/21/2012,5:55 PM
3/22/2012,8:51 AM
3/22/2012,12:11 PM
3/22/2012,1:13 PM
3/22/2012,3:02 PM
3/22/2012,6:18 PM
3/23/2012,1:38 PM
3/23/2012,4:20 PM
3/23/2012,4:36 PM
3/26/2012,12:22 PM
3/26/2012,12:36 PM
3/26/2012,1:05 PM
3/26/2012,3:30 PM
3/27/2012,9:43 AM
3/27/2012,3:57 PM
3/27/2012,4:26 PM
3/28/2012,11:41 AM
3/28/2012,1:33 PM
3/28/2012,2:41 PM
3/29/2012,11:46 AM
3/29/2012,3:20 PM
3/30/2012,2:55 PM
4/2/2012,8:44 AM
4/2/2012,12:13 PM
4/2/2012,12:15 PM
4/2/2012,2:29 PM
4/2/2012,2:42 PM
4/2/2012,5:08 PM
4/2/2012,5:34 PM
4/3/2012,12:55 PM
4/3/2012,1:48 PM
4/3/2012,3:52 PM
4/3/2012,4:03 PM
4/3/2012,4:17 PM
4/3/2012,4:41 PM
4/4/2012,12:20 PM
4/4/2012,3:08 PM
4/4/2012,3:31 PM
4/4/2012,5:53 PM
4/4/2012,6:12 PM
4/5/2012,10:45 AM
4/5/2012,11:08 AM
4/5/2012,12:55 PM
4/5/2012,1:32 PM
4/5/2012,2:00 PM
4/5/2012,5:19 PM
4/5/2012,6:00 PM
4/6/2012,11:00 AM
4/6/2012,1:03 PM
4/6/2012,1:22 PM
4/6/2012,4:13 PM
4/9/2012,12:18 PM
4/9/2012,12:27 PM
4/9/2012,2:49 PM
4/9/2012,4:06 PM
4/9/2012,4:47 PM
4/9/2012,5:06 PM
4/9/2012,5:06 PM
4/9/2012,6:05 PM
4/10/2012,9:27 AM
4/10/2012,10:55 AM
4/10/2012,11:56 AM
4/10/2012,12:16 PM
4/10/2012,12:40 PM
4/10/2012,12:45 PM
4/10/2012,12:46 PM
4/10/2012,12:51 PM
4/10/2012,12:56 PM
4/10/2012,2:46 PM
4/10/2012,2:46 PM
4/11/2012,10:48 AM
4/11/2012,11:09 AM
4/11/2012,11:38 AM
4/11/2012,12:11 PM
4/11/2012,12:12 PM
4/11/2012,12:20 PM
4/11/2012,12:55 PM
4/11/2012,12:58 PM
4/11/2012,1:03 PM
4/11/2012,2:04 PM
4/11/2012,2:26 PM
4/11/2012,2:30 PM
4/11/2012,2:34 PM
4/11/2012,4:52 PM
4/11/2012,4:52 PM
4/11/2012,5:39 PM
4/12/2012,10:38 AM
4/12/2012,11:29 AM
4/12/2012,11:32 AM
4/12/2012,11:43 AM
4/12/2012,12:47 PM
4/12/2012,12:52 PM
4/12/2012,1:07 PM
4/12/2012,3:50 PM
4/13/2012,9:02 AM
4/13/2012,10:56 AM
4/13/2012,11:17 AM
4/13/2012,12:42 PM
4/13/2012,2:39 PM
4/17/2012,8:52 AM
4/17/2012,12:41 PM
4/17/2012,12:41 PM
4/17/2012,12:44 PM
4/17/2012,1:02 PM
4/17/2012,1:27 PM
4/17/2012,1:45 PM
4/17/2012,1:59 PM
4/17/2012,4:17 PM
4/17/2012,4:45 PM
4/17/2012,4:48 PM
4/18/2012,9:59 AM
4/18/2012,11:28 AM
4/18/2012,11:40 AM
4/18/2012,12:08 PM
4/18/2012,12:23 PM
4/18/2012,12:26 PM
4/18/2012,12:37 PM
4/19/2012,10:02 AM
4/19/2012,12:11 PM
4/19/2012,12:35 PM
4/19/2012,1:06 PM
4/19/2012,1:08 PM
4/19/2012,1:09 PM
4/19/2012,1:17 PM
4/19/2012,1:24 PM
4/19/2012,1:56 PM
4/19/2012,3:52 PM
4/19/2012,4:01 PM
4/20/2012,9:58 AM
4/20/2012,11:14 AM
4/20/2012,12:49 PM
4/20/2012,12:51 PM
4/20/2012,12:53 PM
4/20/2012,12:59 PM
4/20/2012,1:48 PM
4/23/2012,9:54 AM
4/23/2012,11:18 AM
4/23/2012,12:26 PM
4/23/2012,12:40 PM
4/23/2012,12:42 PM
4/23/2012,1:08 PM
4/23/2012,2:31 PM
4/23/2012,4:03 PM
4/24/2012,12:15 PM
4/24/2012,2:41 PM
4/25/2012,8:30 AM
4/25/2012,11:20 AM
4/25/2012,11:21 AM
4/25/2012,11:23 AM
4/25/2012,11:53 AM
4/25/2012,12:54 PM
4/25/2012,1:22 PM
4/25/2012,1:23 PM
4/25/2012,5:45 PM
4/25/2012,5:47 PM
4/26/2012,9:55 AM
4/26/2012,11:39 AM
4/26/2012,12:06 PM
4/26/2012,12:38 PM
4/26/2012,12:39 PM
4/26/2012,12:55 PM
4/26/2012,1:35 PM
4/26/2012,2:30 PM
4/26/2012,2:41 PM
4/27/2012,8:49 AM
4/27/2012,10:27 AM
4/27/2012,12:16 PM
4/27/2012,12:32 PM
4/27/2012,12:36 PM
4/27/2012,12:55 PM
4/27/2012,1:56 PM
4/27/2012,2:38 PM
4/27/2012,2:42 PM
4/27/2012,2:43 PM
4/27/2012,2:47 PM
4/27/2012,3:15 PM
4/27/2012,3:44 PM
4/30/2012,10:19 AM
4/30/2012,12:00 PM
4/30/2012,12:13 PM
4/30/2012,12:48 PM
4/30/2012,12:57 PM
4/30/2012,1:53 PM
4/30/2012,2:34 PM
4/30/2012,2:57 PM
4/30/2012,3:59 PM
4/30/2012,4:05 PM
4/30/2012,4:12 PM
5/1/2012,10:17 AM
5/1/2012,11:34 AM
5/1/2012,12:21 PM
5/1/2012,12:30 PM
5/1/2012,1:00 PM
5/1/2012,1:01 PM
5/1/2012,1:18 PM
5/1/2012,2:01 PM
5/1/2012,2:47 PM
5/1/2012,2:50 PM
5/1/2012,2:55 PM
5/1/2012,2:57 PM
5/1/2012,3:28 PM
5/1/2012,3:58 PM
5/1/2012,4:14 PM
5/1/2012,5:07 PM
5/2/2012,10:36 AM
5/2/2012,12:22 PM
5/2/2012,12:49 PM
5/2/2012,1:24 PM
5/2/2012,4:59 PM
5/2/2012,6:18 PM
5/3/2012,10:38 AM
5/3/2012,11:29 AM
5/3/2012,11:56 AM
5/3/2012,12:21 PM
5/3/2012,12:25 PM
5/3/2012,12:32 PM
5/3/2012,3:50 PM
5/4/2012,9:22 AM
5/4/2012,12:12 PM
5/4/2012,12:27 PM
5/4/2012,2:26 PM
5/4/2012,2:57 PM
5/4/2012,3:55 PM
5/7/2012,11:49 AM
5/7/2012,11:55 AM
5/7/2012,12:13 PM
5/7/2012,12:24 PM
5/7/2012,1:25 PM
5/7/2012,2:31 PM
