date,time
4/13/2012,12:39 PM
4/13/2012,1:07 PM
4/18/2012,8:03 AM
4/18/2012,8:24 AM
4/18/2012,11:17 AM
4/18/2012,12:58 PM
4/18/2012,12:59 PM
4/18/2012,3:24 PM
4/18/2012,3:47 PM
4/18/2012,5:36 PM
4/19/2012,12:27 PM
4/19/2012,2:09 PM
4/20/2012,11:14 AM
4/20/2012,12:24 PM
4/24/2012,11:03 AM
4/24/2012,1:10 PM
4/24/2012,1:25 PM
4/24/2012,4:04 PM
4/24/2012,4:05 PM
4/25/2012,9:31 AM
4/25/2012,11:34 AM
4/25/2012,2:07 PM
4/25/2012,4:38 PM
4/25/2012,5:51 PM
4/26/2012,10:18 AM
4/26/2012,10:36 AM
4/26/2012,10:55 AM
4/26/2012,12:18 PM
4/26/2012,12:32 PM
4/26/2012,1:24 PM
4/26/2012,1:25 PM
4/26/2012,2:28 PM
4/27/2012,8:21 AM
4/27/2012,12:14 PM
4/27/2012,12:36 PM
4/27/2012,1:52 PM
4/27/2012,2:04 PM
4/27/2012,2:22 PM
4/27/2012,2:38 PM
4/30/2012,12:41 PM
4/30/2012,2:26 PM
4/30/2012,3:46 PM
5/1/2012,10:36 AM
5/1/2012,11:26 AM
5/1/2012,12:07 PM
5/1/2012,12:24 PM
5/1/2012,1:31 PM
5/1/2012,1:51 PM
5/1/2012,2:31 PM
5/1/2012,2:39 PM
5/1/2012,2:41 PM
5/1/2012,2:52 PM
5/2/2012,10:22 AM
5/2/2012,1:04 PM
5/3/2012,8:25 AM
5/4/2012,10:30 AM
5/4/2012,10:37 AM
5/4/2012,1:27 PM
5/4/2012,2:43 PM
5/4/2012,3:13 PM
5/7/2012,11:44 AM
5/7/2012,12:12 PM
5/7/2012,1:28 PM
5/7/2012,1:38 PM
5/7/2012,1:44 PM
5/7/2012,2:30 PM
5/7/2012,2:54 PM
5/7/2012,2:56 PM
5/8/2012,10:04 AM
5/8/2012,10:38 AM
5/8/2012,12:04 PM
5/8/2012,12:41 PM
5/9/2012,11:33 AM
5/9/2012,12:31 PM
5/10/2012,11:49 AM
5/10/2012,12:57 PM
5/11/2012,10:04 AM
5/11/2012,2:23 PM
5/14/2012,11:42 AM
5/14/2012,12:24 PM
5/14/2012,1:24 PM
5/15/2012,11:13 AM
5/15/2012,12:46 PM
5/16/2012,7:59 AM
5/16/2012,11:57 AM
5/17/2012,12:20 PM
5/17/2012,12:42 PM
5/18/2012,11:21 AM
5/18/2012,2:47 PM
5/21/2012,1:41 PM
5/22/2012,1:21 PM
5/23/2012,12:12 PM
5/24/2012,1:17 PM
5/29/2012,12:00 PM
5/29/2012,3:27 PM
5/30/2012,7:55 AM
5/30/2012,8:31 AM
5/31/2012,1:12 PM
6/4/2012,12:30 PM
6/4/2012,1:57 PM
6/4/2012,2:17 PM
6/4/2012,3:17 PM
6/5/2012,10:43 AM
6/5/2012,12:45 PM
6/12/2012,9:04 AM
6/12/2012,12:01 PM
6/13/2012,10:53 AM
6/18/2012,8:51 AM
6/18/2012,9:10 AM
6/18/2012,11:15 AM
6/18/2012,12:17 PM
6/18/2012,12:31 PM
6/19/2012,12:16 PM
6/19/2012,12:45 PM
6/19/2012,12:54 PM
6/21/2012,10:25 AM
6/21/2012,12:49 PM
6/22/2012,8:24 AM
6/22/2012,12:41 PM
6/22/2012,12:57 PM
6/25/2012,10:40 AM
6/25/2012,12:24 PM
6/25/2012,12:25 PM
6/26/2012,12:49 PM
6/26/2012,1:13 PM
6/27/2012,8:25 AM
6/27/2012,9:16 AM
6/28/2012,10:14 AM
6/28/2012,12:12 PM
7/2/2012,8:20 AM
7/2/2012,12:29 PM
7/2/2012,2:11 PM
7/2/2012,4:50 PM
7/3/2012,12:43 PM
7/5/2012,10:36 AM
7/13/2012,8:49 AM
7/13/2012,9:27 AM
7/17/2012,12:37 PM
7/23/2012,2:43 PM
7/30/2012,11:39 AM
7/30/2012,12:03 PM
7/30/2012,1:01 PM
7/31/2012,10:37 AM
8/7/2012,12:30 PM
8/9/2012,12:22 PM
8/9/2012,12:33 PM
8/10/2012,12:22 PM
8/14/2012,10:25 AM
8/14/2012,12:53 PM
8/15/2012,10:17 AM
8/16/2012,12:05 PM
8/17/2012,12:32 PM
8/20/2012,1:50 PM
8/22/2012,8:29 AM
8/23/2012,10:42 AM
8/23/2012,10:45 AM
8/23/2012,11:35 AM
8/24/2012,11:56 AM
8/27/2012,11:25 AM
8/27/2012,12:43 PM
8/28/2012,12:54 PM
8/29/2012,12:41 PM
8/30/2012,12:15 PM
9/4/2012,3:35 PM
9/5/2012,12:11 PM
9/6/2012,10:08 AM
