date,time
2/15/2012,2:36 PM
2/15/2012,2:39 PM
2/15/2012,3:33 PM
2/15/2012,3:46 PM
2/15/2012,4:00 PM
2/15/2012,4:01 PM
2/15/2012,4:09 PM
2/15/2012,4:12 PM
2/15/2012,4:15 PM
2/15/2012,4:15 PM
2/15/2012,4:28 PM
2/15/2012,4:41 PM
2/15/2012,5:27 PM
2/15/2012,5:31 PM
2/15/2012,5:36 PM
2/16/2012,10:11 AM
2/16/2012,11:20 AM
2/16/2012,11:52 AM
2/16/2012,12:12 PM
2/16/2012,12:14 PM
2/16/2012,12:17 PM
2/16/2012,12:21 PM
2/16/2012,12:51 PM
2/16/2012,2:39 PM
2/16/2012,3:22 PM
2/16/2012,3:43 PM
2/16/2012,3:51 PM
2/16/2012,3:55 PM
2/16/2012,4:02 PM
2/16/2012,4:06 PM
2/16/2012,4:32 PM
2/16/2012,4:43 PM
2/16/2012,5:33 PM
2/16/2012,5:37 PM
2/16/2012,5:40 PM
2/16/2012,6:11 PM
2/17/2012,8:59 AM
2/17/2012,9:02 AM
2/17/2012,10:30 AM
2/17/2012,11:29 AM
2/17/2012,11:47 AM
2/17/2012,12:01 PM
2/17/2012,12:18 PM
2/17/2012,12:21 PM
2/17/2012,12:26 PM
2/17/2012,12:29 PM
2/17/2012,12:30 PM
2/17/2012,12:46 PM
2/17/2012,12:55 PM
2/17/2012,1:14 PM
2/17/2012,1:41 PM
2/17/2012,1:51 PM
2/17/2012,2:47 PM
2/17/2012,2:55 PM
2/17/2012,3:27 PM
2/17/2012,3:58 PM
2/17/2012,4:15 PM
2/17/2012,4:38 PM
2/17/2012,4:43 PM
2/21/2012,11:55 AM
2/21/2012,12:10 PM
2/21/2012,12:11 PM
2/21/2012,12:16 PM
2/21/2012,12:23 PM
2/21/2012,12:49 PM
2/21/2012,1:00 PM
2/21/2012,1:08 PM
2/21/2012,1:09 PM
2/21/2012,1:21 PM
2/21/2012,1:27 PM
2/21/2012,2:30 PM
2/21/2012,2:31 PM
2/21/2012,2:36 PM
